00000001.wav	Female	Yes	music	loop that album	[IN:LOOP_MUSIC loop that [SL:MUSIC_TYPE album ] ]
00000002.wav	Female	Yes	music	Repeat the last album	[IN:REPLAY_MUSIC Repeat the last [SL:MUSIC_TYPE album ] ]
00000003.wav	Female	Yes	music	Repeat song	[IN:REPLAY_MUSIC Repeat [SL:MUSIC_TYPE song ] ]
00000004.wav	Female	Yes	music	Loop this album	[IN:LOOP_MUSIC Loop this [SL:MUSIC_TYPE album ] ]
00000005.wav	Female	Yes	music	I want to replay that song again	[IN:REPLAY_MUSIC I want to replay that [SL:MUSIC_TYPE song ] again ]
00000006.wav	Female	Yes	music	I need to Loop the Current album	[IN:LOOP_MUSIC I need to Loop the Current [SL:MUSIC_TYPE album ] ]
00000007.wav	Female	Yes	music	I want to keep listening to this album	[IN:REPLAY_MUSIC I want to keep listening to this [SL:MUSIC_TYPE album ] ]
00000008.wav	Female	Yes	music	Play the last album again	[IN:PREVIOUS_TRACK_MUSIC Play the [SL:ORDINAL last ] [SL:MUSIC_TYPE album ] again ]
00000009.wav	Female	Yes	music	last playlist again	[IN:REPLAY_MUSIC last [SL:MUSIC_TYPE playlist ] again ]
00000010.wav	Female	Yes	music	Keep rolling that please	[IN:LOOP_MUSIC Keep rolling that please ]
00000020.wav	Male	Yes	music	restart last song	[IN:PREVIOUS_TRACK_MUSIC restart [SL:ORDINAL last ] [SL:MUSIC_TYPE song ] ]
00000019.wav	Male	Yes	music	Repeat all of those songs	[IN:REPLAY_MUSIC Repeat all of those [SL:MUSIC_TYPE songs ] ]
00000018.wav	Male	Yes	music	Play two random songs from my database	[IN:PLAY_MUSIC Play two random [SL:MUSIC_TYPE songs ] from my database ]
00000017.wav	Male	Yes	music	play that playlist one more time	[IN:REPLAY_MUSIC play that [SL:MUSIC_TYPE playlist ] one more time ]
00000016.wav	Male	Yes	music	Repeat the last song immediately	[IN:PREVIOUS_TRACK_MUSIC Repeat the [SL:ORDINAL last ] [SL:MUSIC_TYPE song ] immediately ]
00000015.wav	Male	Yes	music	Loop the whole album	[IN:LOOP_MUSIC Loop the whole [SL:MUSIC_TYPE album ] ]
00000014.wav	Male	Yes	music	play that album again	[IN:REPLAY_MUSIC play that [SL:MUSIC_TYPE album ] again ]
00000013.wav	Male	Yes	music	please put song on repeat	[IN:REPLAY_MUSIC please put [SL:MUSIC_TYPE song ] on repeat ]
00000012.wav	Male	Yes	music	Put the song back on	[IN:REPLAY_MUSIC Put the [SL:MUSIC_TYPE song ] back on ]
00000011.wav	Male	Yes	music	start the playlist from the beginning	[IN:REPLAY_MUSIC start the [SL:MUSIC_TYPE playlist ] from the beginning ]
00000021.wav	Female	Yes	music	loop this track	[IN:LOOP_MUSIC loop this [SL:MUSIC_TYPE track ] ]
00000022.wav	Female	Yes	music	Repeat the last song for mr Johnson	[IN:PREVIOUS_TRACK_MUSIC Repeat the [SL:ORDINAL last ] [SL:MUSIC_TYPE song ] for mr Johnson ]
00000023.wav	Female	Yes	music	Please play the last song	[IN:PLAY_MUSIC Please play the last [SL:MUSIC_TYPE song ] ]
00000024.wav	Female	Yes	music	loop the album	[IN:LOOP_MUSIC loop the [SL:MUSIC_TYPE album ] ]
00000025.wav	Female	Yes	music	replay the song please	[IN:REPLAY_MUSIC replay the [SL:MUSIC_TYPE song ] please ]
00000026.wav	Female	Yes	music	play that album again	[IN:REPLAY_MUSIC play that [SL:MUSIC_TYPE album ] again ]
00000027.wav	Female	Yes	music	replay this album	[IN:REPLAY_MUSIC replay this [SL:MUSIC_TYPE album ] ]
00000028.wav	Female	Yes	music	Loop Bodak Yellow	[IN:LOOP_MUSIC Loop [SL:MUSIC_TRACK_TITLE Bodak Yellow ] ]
00000029.wav	Female	Yes	music	Play that song one more time	[IN:REPLAY_MUSIC Play that [SL:MUSIC_TYPE song ] one more time ]
00000030.wav	Female	Yes	music	Pause the song	[IN:PAUSE_MUSIC Pause the [SL:MUSIC_TYPE song ] ]
00000040.wav	Male	Yes	music	put this song on loop	[IN:LOOP_MUSIC put this [SL:MUSIC_TYPE song ] on loop ]
00000039.wav	Male	Yes	music	Play a Bette Midler song please	[IN:PLAY_MUSIC Play a [SL:MUSIC_ARTIST_NAME Bette Midler ] [SL:MUSIC_TYPE song ] please ]
00000038.wav	Male	Yes	music	next track please	[IN:SKIP_TRACK_MUSIC [SL:ORDINAL next ] [SL:MUSIC_TYPE track ] please ]
00000037.wav	Male	Yes	music	Play music	[IN:PLAY_MUSIC Play [SL:MUSIC_TYPE music ] ]
00000036.wav	Male	Yes	music	skip this song	[IN:SKIP_TRACK_MUSIC skip this [SL:MUSIC_TYPE song ] ]
00000035.wav	Male	Yes	music	Play me some jazz	[IN:PLAY_MUSIC Play me some [SL:MUSIC_GENRE jazz ] ]
00000034.wav	Male	Yes	music	Next song	[IN:SKIP_TRACK_MUSIC [SL:ORDINAL Next ] [SL:MUSIC_TYPE song ] ]
00000033.wav	Male	Yes	music	repeat this track	[IN:REPLAY_MUSIC repeat this [SL:MUSIC_TYPE track ] ]
00000032.wav	Male	Yes	music	play country	[IN:PLAY_MUSIC play [SL:MUSIC_GENRE country ] ]
00000031.wav	Male	Yes	music	START AN ALL AMERICAN REJECTS STATION ON PANDORA	[IN:PLAY_MUSIC START AN [SL:MUSIC_PLAYLIST_TITLE ALL AMERICAN REJECTS ] [SL:MUSIC_TYPE STATION ] ON [SL:MUSIC_PROVIDER_NAME PANDORA ] ]
00000050.wav	Male	Yes	music	Play country list on Pandora	[IN:PLAY_MUSIC Play [SL:MUSIC_GENRE country ] list on [SL:MUSIC_PROVIDER_NAME Pandora ] ]
00000049.wav	Male	Yes	music	let me turn up to some jazz	[IN:PLAY_MUSIC let me turn up to some [SL:MUSIC_GENRE jazz ] ]
00000048.wav	Male	Yes	music	Play music by Prince	[IN:PLAY_MUSIC Play [SL:MUSIC_TYPE music ] by [SL:MUSIC_ARTIST_NAME Prince ] ]
00000047.wav	Male	Yes	music	play j. coles first album	[IN:PLAY_MUSIC play [SL:MUSIC_ARTIST_NAME j. coles ] first [SL:MUSIC_TYPE album ] ]
00000046.wav	Male	Yes	music	don't play that song anymore	[IN:DISLIKE_MUSIC don't play that [SL:MUSIC_TYPE song ] anymore ]
00000045.wav	Male	Yes	music	switch to reggae music	[IN:PLAY_MUSIC switch to [SL:MUSIC_GENRE reggae ] [SL:MUSIC_TYPE music ] ]
00000044.wav	Male	Yes	music	pause song	[IN:PAUSE_MUSIC pause [SL:MUSIC_TYPE song ] ]
00000043.wav	Male	Yes	music	Shuffle play my playlist	[IN:START_SHUFFLE_MUSIC Shuffle play my [SL:MUSIC_TYPE playlist ] ]
00000042.wav	Male	Yes	music	Play jazz music	[IN:PLAY_MUSIC Play [SL:MUSIC_GENRE jazz ] [SL:MUSIC_TYPE music ] ]
00000041.wav	Male	Yes	music	Please play some old school music	[IN:PLAY_MUSIC Please play some [SL:MUSIC_GENRE old school ] [SL:MUSIC_TYPE music ] ]
00000060.wav	Male	Yes	music	play the last song again	[IN:PREVIOUS_TRACK_MUSIC play the [SL:ORDINAL last ] [SL:MUSIC_TYPE song ] again ]
